Il n'y a plus que trois jours () le départ.	正解はavant。jusqu'àは継続的動作を伴う
1997年春季 Je n'ai pas beacoup avancé (     ) mon travail.	"dans  「Je n'ai pas beaucoup avancé dans mon travail.」というフレーズでは、「dans」が適切な前置詞です。これは、「dans」が場所や範囲を示すために使用されることがあり、この文脈では仕事の範囲や進捗状況を示しています。  「dans」は直訳すると「中に」という意味ですが、ここでは仕事の中で進捗していないという意味を持ちます。つまり、仕事の中で十分に進んでいない、進捗していないというニュアンスを表現しています。  例えば、「Je n'ai pas beaucoup avancé sur mon travail.」と言った場合、""sur""はより具体的な位置を示す前置詞であり、仕事の上に進んでいないというニュアンスになります。一方、「dans」は範囲や内部を示すため、仕事全体での進捗状況を表現するのに適しています。  したがって、「Je n'ai pas beaucoup avancé dans mon travail.」は、仕事全体の進捗が十分でないことを表現する正しい表現です。"
1997年春季 Ne parlons pas de ce problème (     ) présence du directeur.	en   en présence \ɑ̃ pʁe.zɑ̃s\ En face, en vue l’un de l’autre.Les deux armées étaient en présence, restèrent en présence.(Figuré) En observation mutuelle, pour en découdre.
1997年春季 Si la découverte sur Mars d'une forme de vie, fût-elle primitive et microscopique, ( devoir ) se confirmer, elle constituerait un formidable point d'appui pour de nouvelles réflexions sur les origines du vivant.	devait
1997年春季 Ce qui frappe, tout d'abord, c'est la similitude qui pourrait exister entre les conditions d'apparition de la vie sur Terre et sur Mars.  De là à en conclure que la vie peut se développer partout où ces condition favorables ( réunir ), il n'y a qu'un pas que l'imagination ne peut s'empêcher de franchir.	sont réunies / seraient
1997年春季 On en perçoit l'enjeu : si l'hypothèse avait quelque chance de s'avérer exacte, elle ( signifier ) bel et bien l'universalité du vivant.	signifierait
1997年春季 En d'autres termes, c'en serait définitivement fini du privilège si longtemps ( accorder ) à notre bonne vieille planète.	accordé
1997年春季 Et sans parler encore, comme les scientifiques de la NASA* (  se garder  ) à juste titre de le faire, de «petits hommes verts», il faudrait bien admettre la possibilité réelle d'une vie extraterrestre plus élaborée.	se gardent
L'Ile-de-France serait-elle en voie de dépeuplement?  Paris et les alentours perdent actuellement plus d'habitants qu'ils n'en récupèrent, au profit de la province.  Ce sont ( 1 ) qui désertent le plus la capitale.  Selon une étude, deux tiers des 25-34 ans envisagent de quitter l'Ile-de-France «pour prendre plus le temps vivre, d'avoir des loisirs et de mieux élever les enfants».   1 des jeunes actifs 2 des jeunes célibataires au chômage 3 des retraités	1
1997年春季  De même, on ne se bouscule plus aux portes de la capitale.  Même si les jeunes entre 20 et 30 ans représentent encore 40 % des arrivants, leurs motivations ont bien changé.  ( 2 ) Paris aujourd'hui le font à 60 % par nécessité professionnelle, et non plus, comme autrefois, par goût et intérêt pour la capitale. 1 Ceux qui montent à 2 Ceux qui quittent 3 Ceux qui restent à	1
1997年春季 Pourquoi une telle désaffection?  Essentiellement pour ( 3 ).  L'Ile-de-France attire généralement les gens par son marché de l'emploi. 1 des raisons économiques 2 des raisons politiques 3 des raisons psychologiques	1
1997年春季 Or, depuis le début des années 1990, cet avantage est en crise et les perspectives ne sont guère meilleures.  C'est par souci d'assurer ( 4 ) que bien des jeunes couples décident d'échanger leur métro-boulot-dodo parisien contre une carrière en province. 1 leur avenir 2 un meilleur emploi 3 un salaire plus élevé	1
1997年春季 De plus, ( 5 ) en Ile-de-France --- logements hors de prix, temps de transports interminables, pollution --- poussent fortement au départ vers la province, où la vie est perçue comme plus agréable et moins chère. 1 les commodités de la vie 2 les problèmes de l'emploi 3 les soucis quotidiens de la vie	3
"1998年春季 (1)	A : Elle a réservé une somme d'argent pour les besoins imprévus. B : Elle a gardé en (     ) une somme d'argent pour les besoins imprévus."	(1) réserve
"1998年春季 (2)	A : Elle s'est étonnée du ton sec de sa réponse. B: Elle s'est étonnée de la (     ) de sa réponse."	(2) sécheresse
"1998年春季 (3)	A : Il est interdit par la loi de déposer des ordures dans les rivières. B : La loi interdit le (     ) d'ordures dans les rivières."	(3) dépôt
"1998年春季 (4)	A : Le premier ministre espère que la réduction des déficits fera baisser les taux d'intérêt. B : Le premier ministre espère que la réduction des déficits entraînera la (     ) des taux d'intérêt."	(4) baisse
"1998年春季 (5)	Le Sénat demande que les mesures antiracistes soient rigoureusement appliquées. B : Le Sénat demande l'(     ) rigoureuse des mesures antiracistes."	(5) application
"1998年春季 (1)	A : Après cet événement, on me regarde d'un œil (     ). B : La période (     ) de ce malade est passée."	(1) critique
"1998年春季 (2)	A : Ce n'est pas loin, c'est seulement à dix minutes de (     ). B : J'ai raté une (     ) en descendant l'escalier et je me suis cassé la jambe."	(2) marche
"1998年春季 (3)	A : Il a une bonne (     ) du français.  Il a vécu cinq ans en France. B : Pierre ?  C'est une simple (     ).  Je l'ai rencontré une fois chez un ami."	(3) connaissance
"1998年春季 (4)	A : Le garçon a été blessé par un (     ) de verre. B : Le verre de cristal orné d'or brillait avec un vif (     )."	(4) éclat
"1998年春季 (5)	A : Le 14 juillet tombait un mardi, on a fait le (     ) lundi. B : La voiture a ralenti un peu en passant le (     ) étroit."	(5) pont
"1998年春季 (1)	Ce restaurant est ouvert seulement (     ) semaine."	(1) en
"1998年春季 (2)	Il m'a traité (     ) menteur, mais ce n'est pas vrai !"	(2) de
"1998年春季 (3)	Nous nous sommes rangés deux (     ) deux dans le cour."	(3) par
"1998年春季 (4)	On juge trop facilement (     ) les apparences."	(4) sur
"1998年春季 (5)	(     ) nous deux, nous pourrons tout faire."	(5) à  二人でという意味
1998年春季 Les téléspectateurs du Moyen-Orient, branchés samedi soir sur Canal France International (CFI), ont eu un double choc : d'abord en découvrant sur leur écran un film pornographique non programmé ; ensuite en écoutant le doublage qui ne (   coller   ) pas vraiment. Le tout à une heure de grande écoute où (   se succéder   ) habituellement les programmes familiaux.	(1) collait     (2) se succèdent
1998年春季 Il ne s'agissait pas d'une erreur de CFI mais de France Télécom qui a envoyé au Moyen-Orient le porno mensuel de Canal +*, au lieu des programmes éducatifs.  France Télécom (   présenter   ) ses excuses à CFI.  L'Organisation arabe de communication par satellite (   voir   ) dans cet incident une atteinte à la morale islamique et a interrompu les programmes de CFI juste après l'incident ; elle a affirmé qu'elle (   annuler   ) le contrat qui la lie à CFI.  Cela porterait un coup très dur à la présence de CFI dans la zone.	(3) a présenté     (4) a vu     (5) annulerait
"1999年春季 (1)	A : Cet écrivain a voulu se réfugier en France. B : Cet écrivain a cherché (     ) en France."	(1) refuge
"1999年春季 (2)	A : Cet ordinateur est réparable? B: La (     ) de cet ordinateur est possible?"	(2) réparation
"1999年春季 (3)	A : Elle a exigé d'être payée immédiatement en espèces. B : Elle a exigé le (     ) immédiat en espèces."	(3) paiement / payement
"1999年春季 (4)	A : Il est manifeste que ses parents sont généreux : ils lui ont acheté une voiture. B : La (     ) de ses parents est manifeste : ils lui ont acheté une voiture."	(4) générosité
"1999年春季 (5)	A : J'avoue que j'ignore tout dans ce domaine. B : J'avoue mon (     ) totale dans ce domaine."	(5) ignorance
"1999年春季 (1)	A : C'est le 14 juillet 1789 qu'il y a eu la (     ) de la Bastille. B : Tu peux brancher cette lampe sur la (     )?"	(1) prise
"1999年春季 (2)	A : C'est un homme simple et (     ). B : Il est le bras (     ) de l'actuel président."	(2) droit
"1999年春季 (3)	A : Dans ce roman, ce (     ) est le plus intéressant. B : J'ai lu un journal en attendant le (     ) de l'autobus."	(3) passage
"1999年春季 (4)	A : Il a eu un accident de voiture qui lui a paralysé les (     ) inférieurs. B : Tous les (     ) de sa famille étaient présents à la soirée."	(4) membre
"1999年春季 (5)	A : La (     ) de votre fils est un peu inquiétante. B : La (     ) d'une voiture de sport demande beaucoup d'adresse."	(5) conduire
"1999年春季  (1)	Ce pays a longtemps vécu (     ) domination étrangère avant son indépendance."	(1) sous
"1999年春季 (2)	Le débat porte en particulier (     ) les expériences nucléaires."	(2) sur
"1999年春季 (3)	Le produit à l'étude n'a rien à voir (     ) les produits déjà existants."	(3) avec
"1999年春季 (4)	On a annoncé l'arrivée du train (     ) gare."	(4) en
"1999年春季 (5)	(     ) la différence du Japon, la France est un pays exportateur de produits agricoles."	(5) à
1999年春季 Cher ami,   Voici la préface pour l'édition japonaise que vous me demandez.  Je (  s'inspirer  ) librement de la préface de la traduction italienne.  Dites-moi si cela vous (   convenir   ).	(1) me suis inspiré     (2) convient / conviendra
1999年春季   Je suis resté à Liège jusqu'au début d'août et ensuite j'(   faire   ) un voyage d'une vingtaine de jours en voiture avec ma fille en Hongrie.	(3) ai fait
1999年春季 Comme dit ma fille, c'était «super»!  Sauf que nous (   se faire   ) voler nos bagages à Budapest dans notre voiture pourtant fermée à clef...　Quand est-ce que vous (   revenir   ) à Liège?  N'oubliez pas de me prévenir.   Très cordialement.	(4) nous sommes fait     (5) reviendrez / revenez
"2000年春季 (1)	A : À cause du mauvais temps, nous n'avons pas pu secourir les gens isolés. B : Le mauvais temps nous a empêchés de porter (     ) aux gens isolés."	(1) secours
"2000年春季 (2)	A : Appuyées sur des témoignages, de nouvelles accusations sont lancées contre lui. B: De nouvelles accusations sont lancées contre lui, témoignages à l'(     )."	(2) appui
"2000年春季 (3)	A : Craignant de rater le train, nous nous somme hâtés vers la gare. B : Dans la (     ) de rater le train, nous nous somme hâtés vers la gare."	(3) crainte
"2000年春季 (4)	A : Je suis touchée des mots tendres qu'il m'a adressés. B : La (     ) de ses paroles m'a touchée."	(4) tendresse
"2000年春季 (5)	A : Refuser l'offre du direciteur!  Ce jeune homme est très audacieux. B : Refuser l'offre du direciteur!  Ce jeune homme a bien de l'(     )."	(5) audace
"2000年春季 (1)	A : Anne-Marie a un mari qui l'aide à faire le (     ). B : C'est un jeune (     ) sans enfant."	(1) ménage
"2000年春季 (2)	A : Après la retraite, j'aimerais vivre à la (     ). B : Ils mènent une (     ) commerciale pour leur nouveau produit."	(2) campagne
"2000年春季 (3)	A : Cet homme politique conteste le (     ) parlementaire. B : Elle est au (     ) pour maigrir."	(3) régime
"2000年春季  (4)	A : Il m'a prêté de l'argent, mais il m'a demandé 5 % d'(     ). B : Nous avons pris (     ) à ce projet."	(4) intérêt
"2000年春季 (5)	A : Le film s'inspire de la (     ) d'Arthur. B : On ne comprend pas cette photo sans (     )."	(5) légende
2000年春季 J'ai deux frères et ma relation avec mon père a été très différente de celle que mes frères (   entretenir   ) avec lui.  Être une fille m'a facilité la vie.  Il m'a passé plein de choses qu'il ne (   tolérer   ) pas chez mes frères.  Je n'ai eu aucun conflit avec lui, jusqu'à ce que je (   rencontrer   ) mon copain : il nétait pas juif, nous le sommes...	(1) entretenaient/ont entretenue     (2) tolérait     (3) rencontre
2000年春季 Alor que mon père m'avait toujours dit qu'il ne prêtait aucune attention à la religion, il ne cessait de me répéter : «Tu vas quitter ce garçon.  Sinon, je te (   chasser   ) de la famille.»  Il a été vraiment têtu.  Il a mis deux ans avant d'accepter la situation.  Un an après mon mariage, quand sa mère est morte, il a craqué.  Pour la première fois, je l'ai vu pleurer.  C'est ce jour-là que j'(   réaliser   ) que mon père était très fragile.  Il me devenait, tout à coup, plus proche.	(4) chasse/chasserai     (5) ai réalisé
2000年春季 欧米人の書く文章は日本人のものより論理的だといわれる。	On dit que les textes rédigés par les Occidentaux sont plus logiques que ceux qu'écrivent les Japonais.
"2001年春季 (1)	A : La porte ferme automatiquement. B : La (     ) de la porte est automatique."	(1) fermeture
"2001年春季 (2)	A : L'architecte a comparé Paris avec Londres. B: L'architecte a fait une (     ) entre Paris et Londres."	(2) comparaison
"2001年春季 (3)	A : Le conseil a approuvé ce projet a l'unanimité. B : Ce projet a reçu l'(     ) du conseil à l'unanimité."	(3) approbation
"2001年春季 (4)	A : On n'a pas pu faire avouer le criminel. B : On n'a pas pu obtenir l'(     ) du criminel."	(4) aveu
"2001年春季 (5)	A : Tout le monde se souciait de la santé du président. B : Tout le monde se faisait du (     ) au sujet de la santé du président"	(5) souci
"2001年春季 (1)	A : Il est membre de la (     ) d'enquête sur ce problème. B : L'agence immobilière demande 20% de (     )."	(1) commission
"2001年春季 (2)	A : Il porte un pull-over de couleurs (     ). B : Le projet de loi a été voté après de (     ) discussions."	(2) vives
"2001年春季 (3)	A : Il y a beaucoup de (     ) à la fin de livre. B : Jacques a eu de bonnes (     ) grâce à ses efforts cette année."	(3) notes
"2001年春季 (4)	A : L'(     ) politique est une science qui étudie la production, la distribution et la consommation des richesses. B : Utiliser la bicyclette à la place de la voiture permet une (     ) d'énergie."	(4) économie
"2001年春季 (5)	A : Paul est vraiment sage. C'est un garçon bien (     ). B : Sophie n'est pas contente. Elle s'attendait à un salaire plus (     )."	(5) élevé
"2001年春季 (1)	Ces dernières années, ce festival de musique se tourne (     ) le jazz."	(1) vers
"2001年春季 (2)	C'est un athlète (     ) pair ; il n'a jamais perdu depuis six ans."	(2) hors
"2001年春季 (3)	Elle n'est pas la seule (     ) se plaindre de ta conduite."	(3) à
"2001年春季 (4)	La vente de l'entreprise est toujours (     ) négociation."	(4) en
"2001年春季 (5)	Le peintre a choisi (     ) thème des objets banals."	(5) pour
2001年春季 Quand j'ai fini mes études, c'était très difficile d'entrer dans le marché du travail pour les jeunes en France.  J'ai voulu trouver un poste dans une banque, adapté à ma formation.  Mais dans le secteur bancaire, le personnel était trop nombreux à cette époque-là.  Quand il y avait des départs à la retraite, on ne (   prendre   ) plus personne.	(1) prenait  「prennait」は、過去の行為や状況を表す動詞「prendre」の過去形（単数形、3人称）です。したがって、「Quand il y avait des départs à la retraite, on ne prenait plus personne.」となります。これは、過去のある時点での習慣や状況を表現しています。具体的には、退職者が出たときには新たな人を雇わなかった、という意味です。  「prendrait」は、未来の行為や仮定を表す動詞「prendre」の条件法形（単数形、3人称）です。したがって、「Quand il y aurait des départs à la retraite, on ne prendrait plus personne.」となります。これは、将来のある時点での習慣や仮定を表現しています。具体的には、退職者が出る場合には将来的に新たな人を雇わない、という意味です。
2001年春季 Comme ça, j'ai commencé ma vie professionnelle comme vendeur de grands magasins.  Depuis, j'(   vivre  ) de différents jobs et je ne (   voir   ) pas beaucoup d'inconvénients à avoir une vie instable.	(2) ai vécu     (3) voyais
2001年春季 Mais il y a quelque temps, j'ai eu envie d'avoir un poste stable.  Je (   se fixer  ) deux ans pour trouver un poste digne de ce nom.  Si je n'y (   arriver   ) pas, je partirai en Espagne où j'ai de la famille.	(4) me suis fixé     (5) arrive
"2002年 (1)	A : Alain conçoit clairement le cours des événements. B : Alain a une (     ) claire du cours des événements."	(1) conception
"2002年 (2)	A : Elle a veillé toute la nuit en attendant le retour de son fils. B: Elle a veillé toute la nuit dans l'(     ) du retour de son fils."	(2) attente
"2002年 (3)	A : Le film dure deux heures et demie. B : La (     ) du film est de deux heures et demie."	(3) durée
"2002年 (4)	A : Pierre n'a pas hésité à soutenir ma décision. B : Pierre n'a pas hésité à apporter son (     ) à ma décision."	(4) soutien
"2002年 (5)	A : Quand elle conduit, Hélène freine trop souvent. B : Quand elle conduit, Hélène donne trop souvent des coups de (     )."	(5) frein
"2002年 (1)	A : À la bibliothéque, on doit parler à (     ) basse. B : Aux dernières élections, il a donné sa (     ) au candidat socialiste."	(1) voix
"2002年 (2)	A : C'est mon fils qui s'est d'abord rendu compte de la (     ) de gaz. B : Les voleurs ont pris la (     ) avant l'arrivée de la police."	(2) fuite
"2002年 (3)	A : Chez moi, je n'ai pas assez d'(     ) pour ranger toute ma collection. B : La ville s'est complètement transformée en l'(     ) de cinq ans."	(3) espace
"2002年 (4)	A : Il a sauvé un enfant qui se noyait. C'est un (     ) de courage. B : Nous avons besoin de l'(     ) de naissance de votre fille."	(4) acte
"2002年 (5)	A : Il est difficile de faire correspondre les (     ) aux dépenses. B : J'ai préparé ces plats selon les (     ) de ma mère."	(5) recettes
"2002年	 (1) Ce fruit est très riche (     ) vitamines et minéraux."	(1) en
2002年 (2) Il souhaitait (     ) son vivant que ses tableaux soient enterrés avec lui.	(2) de
2002年 (3) N'oubliez pas de regarder cette émission ce soir à neuf heures (     ) France 2.	(3) sur
2002年 (4) Qu'il est égoïste!  Il fait toujours passer son intérêt (     ) celui des autres.	(4) avant
2002年 (5) Voulez-vous classer les dossiers (     ) ordre alphabétique ?	(5) par
2002年春季 L'enfance d'Yuliana n'a pas été facile.  À l'âge de trois ans, elle a perdu ses parents.  Et pendant un an, elle a vécu chez une voisine jusqu'à ce que son grand-père (   venir   ) la ramener chez lui à Cuba.	(1) vienne
2002年春季 Là-bas, Yuliana a passé toute sa jeunesse dans des conditions difficiles.  Mais pour son bonheur, elle a découvert le sport et elle est devenue championne nationale junior du triple saut.  Mais sa double nationalité ne (   plaire   ) pas aux dirigeants cubains et on lui a demandé de renoncer à la nationalité américaine.  Elle a refusé et a décidé de retourner aux États-Unis.  Quand elle a débarqué en Arizona, elle n'(   avoir   ) qu'un sac de linge et quelques affaires.  Elle a dû travailler comme femme de ménage.	(2) plaisait     (3) avait
2002年春季 Mais un jour, dans un autobus, elle a discuté avec le chauffeur.  Celui-ci (   s'apercevoir    ) qu'il avait affaire à une sportive de bon niveau.  Il lui a présenté un professionnel qui est devenu son actuel entraîneur.  Aujourd'hui, âgée de dix-neuf ans, elle rêve de participer aux Jeux Olympiques de 2004 à Athènes.  ( parvenir )-t-elle à réaliser son rêve ?	(4) s'est aperçu     (5) Parviendra
"2003年春季 (1)	A : Il a prouvé qu'il savait très patient. B : Il a fait (     ) d'une grande patience."	(1) preuve
"2003年春季 (2)	A : Je ne crois pas que ses propos soient sincères. B: Je ne crois pas à la (     ) de ses propos."	(2) sincérité
"2003年春季 (3)	A : Le gouvernement a du mal à équilibrer le budget. B : Le gouvernement a du mal à établir l'(     ) du budget."	(3) équilibre
"2003年春季 (4)	A : Son dernier livre n'était pas intéressant. B : Son dernier livre était sans (     )."	(4) intérêt
"2003年春季 (5)	A : Sur Internet, on peut acheter toutes sortes de choses par carte de crédit. B : Sur Internet, on peut faire toutes sortes d'(     ) par carte de crédit."	(5) achats
"2003年春季 (1)	A : Avec son salaire plutôt (     ), il ne peut pas s'offrir grand-chose. B : Toujours (     ), il ne s'est jamais vanté de ses succès. rじゃない"	modeste
"2003年春季 (2)	A : Avez-vous une chambre exposée au (     ) ? B : Revenez ici vers (     )."	midi
"2003年春季  (3)	A : Je ne peux pas travailler dans cette pièce (     ). B : Malgré ses explications, sa théorie reste (     ) pour moi."	obscure
"2003年春季 (4)	A : Je ne sais pas comment (     ) ces meubles-là. B : Mes parents ont pu (     ) d'un peu d'argent à la fin de leur vie."	disposer
"2003年春季 (5)	A : Va te laver la (     ). B : Voici une (     ) pour te faire comprendre mon hypothèse."	figure
"2003年春季 (1)	André a toujours été apprécié (     ) sa gentillesse."	pour
"2003年春季 (2)	Il ne faut pas manquer (     ) sa promesse."	à  Manquer à = faire défaut à ; se soustraire à. L'argent lui a manqué pour mener à bien son projet. Il a manqué à sa parole, à ses devoirs.  Manquer de (+ nom) = ne pas avoir en quantité suffisante, être dépourvu de. Il manque d'argent. Il manque de parole (= il ne tient pas ses promesses).  Manquer de, manquer (+ infinitif) = être sur le point de, être tout près de, faillir. J'étais excédé, j'ai manqué de tout laisser là et de ne plus revenir (ou : j'ai manqué tout laisser là...).  Ne pas manquer de (+ infinitif) = ne pas omettre, ne pas oublier de. Il nous attendra, ne manquez pas d'y être. Je ne manquerai pas de vous prévenir dès que j'aurai des nouvelles.
"2003年春季 (3)	Il sont apparus devant la presse la main (     ) la main."	dans
"2003年春季 (4)	Nous sommes arrivés au sommet de la montagne, non (     ) difficultés."	sans
"2003年春季 (5)	Placé (     ) la direction de son jeune chef, l'orchestre a donné une nouvelle interprétation de cette œuvre."	sous
